Data e Hora de Geracao: -14-07-2024-10-34-02
Tempos em segundos:
Tamanho/Tipo,Aleatorio,Aleatorio-RangeMenor,Aleatorio-RangeMaior,Aleatorio-CEP,Aleatorio-Iguais,Aleatorio-Extremo,Crescente,Crescente-RangeMenor,Crescente-RangeMaior,Crescente-CEP,Crescente-Iguais,Crescente-Extremo,Decrescente,Decrescente-RangeMenor,Decrescente-RangeMaior,Decrescente-CEP,Decrescente-Iguais,Decrescente-Extremo
10000,0.001042,0.000608,0.002485,0.001484,0.000454,0.004470,0.001043,0.000643,0.000533,0.001492,0.000989,0.004477,0.001033,0.000602,0.002494,0.001484,0.001880,0.004477,
100000,0.010506,0.006202,0.025240,0.015036,0.004597,0.045215,0.010720,0.006214,0.004848,0.015190,0.010141,0.045198,0.010650,0.006036,0.025453,0.015164,0.018916,0.044975,
500000,0.060736,0.031679,0.128484,0.074823,0.022853,0.226821,0.060472,0.030951,0.024410,0.075610,0.050472,0.225253,0.059285,0.030712,0.126307,0.074688,0.094833,0.226077,
1000000,0.105218,0.062116,0.253102,0.150404,0.045609,0.452122,0.107668,0.061279,0.048290,0.150704,0.099934,0.451513,0.104502,0.062162,0.253243,0.151190,0.190664,0.452888,
Tempo Total,51.790642
Tempo Medio Total,0.071931
